English,Where it appears,Screen / file,Placeholders,Keep English,Note
Manual config (app id / key / secret),Dashboard,dashboard/partials/warble-section,,,
no card,Dashboard,dashboard/partials/warble-section,,,
"On the free tier (100 connections, pauses after 30 idle days). Upgrade for more — no pause, still a flat yearly price.",Dashboard,dashboard/partials/warble-section,,,
Paused — idle,Dashboard,dashboard/partials/warble-section,,,
Provisioning failed — we’re on it.,Dashboard,dashboard/partials/warble-section,,,
Realtime — Warble,Dashboard,dashboard/partials/warble-section,,,
Resume free endpoint,Dashboard,dashboard/partials/warble-section,,,
Rotate credentials,Dashboard,dashboard/partials/warble-section,,,
This free endpoint was paused after 30 days with no connections. Your keys and address are kept — resume and it’s back in a couple of minutes.,Dashboard,dashboard/partials/warble-section,,,
up to :n connections,Dashboard,dashboard/partials/warble-section,:n,,
Upgrade to a paid plan,Dashboard,dashboard/partials/warble-section,,,
you already have one,Dashboard,dashboard/partials/warble-section,,,
Your realtime endpoint is being set up — this takes a minute.,Dashboard,dashboard/partials/warble-section,,,
Upgrade,Dashboard,"dashboard/partials/warble-section, shared/features/locked",,,
Date checked,Monitors,monitors/checks,,,
Refresh report,Monitors,"monitors/checks, monitors/incidents",,,
Report generated on :date at :time (UTC :offset).,Monitors,"monitors/checks, monitors/incidents",:date :time :offset,,
Response status code,Monitors,"monitors/checks, monitors/overview",,,
Checks,Monitors,"monitors/checks, monitors/overview, monitors/partials/header",,,
Checked at,Monitors,"monitors/checks, monitors/partials/domain-status-tooltip, monitors/partials/http-status-tooltip (+1 more)",,,
Call this URL from your job — e.g. crontab:,Monitors,monitors/edit,,,
Destination,Monitors,monitors/edit,,,
Extra time allowed past the expected interval before the monitor is marked offline.,Monitors,monitors/edit,,,
Failed,Monitors,monitors/edit,,,
Ping URL,Monitors,monitors/edit,,,
Recent webhook deliveries,Monitors,monitors/edit,,,
Signal an explicit failure with,Monitors,monitors/edit,,,
The monitor type can't be changed after creation.,Monitors,monitors/edit,,,
:api_token and :chat_id must be separated by a space.,Monitors,"monitors/edit, monitors/new",:api_token :chat_id,,
:app_token and :user_key must be separated by a space. :url,Monitors,"monitors/edit, monitors/new",:app_token :user_key :url,,
Alert :day day before,Monitors,"monitors/edit, monitors/new",:day,,
Alert :days days before,Monitors,"monitors/edit, monitors/new",:days,,
Appends a unique string at the end of the URL so that every request is unique.,Monitors,"monitors/edit, monitors/new",,,
Domain name monitoring,Monitors,"monitors/edit, monitors/new",,,
Grace period,Monitors,"monitors/edit, monitors/new",,,
HTTP authentication,Monitors,"monitors/edit, monitors/new",,,
Method,Monitors,"monitors/edit, monitors/new",,,
Paste your full Gotify message URL including the app token. :url,Monitors,"monitors/edit, monitors/new",:url,,
Paste your full IFTTT Maker Webhook URL. :url,Monitors,"monitors/edit, monitors/new",:url,,
Paste your full ntfy topic URL. :url,Monitors,"monitors/edit, monitors/new",:url,,
Request,Monitors,"monitors/edit, monitors/new",,,
SSL certificate monitoring,Monitors,"monitors/edit, monitors/new",,,
Text lookup,Monitors,"monitors/edit, monitors/new",,,
Unlock feature,Monitors,"monitors/edit, monitors/new",,,
+10000000000,Monitors,"monitors/edit, monitors/new, monitors/partials/advanced-alerting",,yes,
api:token chat_id,Monitors,"monitors/edit, monitors/new, monitors/partials/advanced-alerting",:token,yes,
app_token user_key,Monitors,"monitors/edit, monitors/new, monitors/partials/advanced-alerting",,yes,
Off,Monitors,"monitors/edit, monitors/new, monitors/partials/advanced-alerting",,,
Hide password,Monitors,"monitors/edit, monitors/new, status-pages/edit (+1 more)",,,
Show password,Monitors,"monitors/edit, monitors/new, status-pages/edit (+1 more)",,,
Search monitors,Monitors,monitors/index,,,
Search monitors…,Monitors,monitors/index,,,
Extra time allowed past the expected interval before the monitor is marked offline. Your ping URL is shown after the monitor is created.,Monitors,monitors/new,,,
:month :day,Monitors,monitors/overview,:month :day,yes,
:year :month,Monitors,monitors/overview,:year :month,yes,
H:i,Monitors,monitors/overview,:i,yes,
No incidents found.,Monitors,monitors/overview,,,
Y-m,Monitors,monitors/overview,,yes,
:count minutes,Monitors,monitors/partials/advanced-alerting,:count,,
A second channel set used only by the escalation.,Monitors,monitors/partials/advanced-alerting,,,
Escalate after,Monitors,monitors/partials/advanced-alerting,,,
Escalation channels,Monitors,monitors/partials/advanced-alerting,,,
Every :count minutes,Monitors,monitors/partials/advanced-alerting,:count,,
Fire the escalation channels once if the incident is still ongoing.,Monitors,monitors/partials/advanced-alerting,,,
Re-send the alert channels while the incident is ongoing.,Monitors,monitors/partials/advanced-alerting,,,
Repeat alerts,Monitors,monitors/partials/advanced-alerting,,,
Are you sure you want to pause :name?,Monitors,monitors/partials/context-menu,:name,,
Are you sure you want to resume :name?,Monitors,monitors/partials/context-menu,:name,,
"Deleting this monitor is permanent, and will remove all the data associated with it.",Monitors,monitors/partials/context-menu,,,
Duplicate,Monitors,monitors/partials/context-menu,,,
Duplicate :name? The copy starts as a fresh monitor with the same settings.,Monitors,monitors/partials/context-menu,:name,,
Resume,Monitors,monitors/partials/context-menu,,,
Active domain name,Monitors,monitors/partials/domain-status-tooltip,,,
Domain name,Monitors,monitors/partials/domain-status-tooltip,,,
Expired domain name,Monitors,monitors/partials/domain-status-tooltip,,,
Registrar,Monitors,monitors/partials/domain-status-tooltip,,,
Check interval,Monitors,"monitors/partials/domain-status-tooltip, monitors/partials/http-status-tooltip, monitors/partials/ssl-status-tooltip",,,
Expires at,Monitors,"monitors/partials/domain-status-tooltip, monitors/partials/ssl-status-tooltip",,,
All time,Monitors,monitors/partials/header,,,
April,Monitors,monitors/partials/header,,,
August,Monitors,monitors/partials/header,,,
December,Monitors,monitors/partials/header,,,
February,Monitors,monitors/partials/header,,,
Fr,Monitors,monitors/partials/header,,,
January,Monitors,monitors/partials/header,,,
July,Monitors,monitors/partials/header,,,
June,Monitors,monitors/partials/header,,,
Last month,Monitors,monitors/partials/header,,,
March,Monitors,monitors/partials/header,,,
May,Monitors,monitors/partials/header,,,
Mo,Monitors,monitors/partials/header,,,
November,Monitors,monitors/partials/header,,,
October,Monitors,monitors/partials/header,,,
Sa,Monitors,monitors/partials/header,,,
September,Monitors,monitors/partials/header,,,
Su,Monitors,monitors/partials/header,,,
Th,Monitors,monitors/partials/header,,,
This month,Monitors,monitors/partials/header,,,
Tu,Monitors,monitors/partials/header,,,
We,Monitors,monitors/partials/header,,,
Yesterday,Monitors,monitors/partials/header,,,
Toggle navigation,Monitors,"monitors/partials/header, shared/header",,,
Last :days days,Monitors,"monitors/partials/header, status-pages/show",:days,,
Today,Monitors,"monitors/partials/header, status-pages/show",,,
:status ending on :date,Monitors,monitors/partials/http-status-tooltip,:status :date,,
:status for :duration,Monitors,monitors/partials/http-status-tooltip,:status :duration,,
:status is scheduled to start on :start_date and end on :end_date.,Monitors,monitors/partials/http-status-tooltip,:status :start_date :end_date,,
Invalid,Monitors,monitors/partials/real-time,,,
Valid,Monitors,monitors/partials/real-time,,,
Invalid SSL certificate,Monitors,monitors/partials/ssl-status-tooltip,,,
Issuer,Monitors,monitors/partials/ssl-status-tooltip,,,
Organization,Monitors,monitors/partials/ssl-status-tooltip,,,
Signature algorithm,Monitors,monitors/partials/ssl-status-tooltip,,,
Valid SSL certificate,Monitors,monitors/partials/ssl-status-tooltip,,,
Leave the end date empty if the incident is ongoing.,Incidents,"incidents/edit, incidents/new",,,
Incident,Incidents,"incidents/edit, incidents/new, incidents/show",,,
Search incidents,Incidents,incidents/index,,,
Search incidents…,Incidents,incidents/index,,,
Started,Incidents,"incidents/index, incidents/partials/tooltip, incidents/show (+1 more)",,,
Are you sure you want to export this table?,Incidents,"incidents/index, monitors/incidents",,,
Export,Incidents,"incidents/index, monitors/incidents, status-pages/subscribers",,,
Also affects,Incidents,incidents/new,,,
Optional — additional monitors affected by this incident.,Incidents,incidents/new,,,
Acknowledge,Incidents,incidents/partials/context-menu,,,
Are you sure you want to acknowledge the incident for the :name monitor?,Incidents,incidents/partials/context-menu,:name,,
Are you sure you want to mark the incident as resolved for the :name monitor?,Incidents,incidents/partials/context-menu,:name,,
"Deleting this incident is permanent, and will remove all the data associated with it.",Incidents,incidents/partials/context-menu,,,
Resolve,Incidents,incidents/partials/context-menu,,,
Add,Incidents,incidents/show,,,
Incident acknowledged.,Incidents,incidents/show,,,
Incident resolved.,Incidents,incidents/show,,,
Incident started.,Incidents,incidents/show,,,
Post an update,Incidents,incidents/show,,,
"Posting a ""Resolved"" update also resolves the incident.",Incidents,incidents/show,,,
Received :cause response from :location on :url.,Incidents,incidents/show,:cause :location :url,,
Sent out :service alert to :value.,Incidents,incidents/show,:service :value,,
Sent out :service alert.,Incidents,incidents/show,:service,,
Summary,Incidents,incidents/show,,,
Timeline,Incidents,incidents/show,,,
This window is currently active — checks and alerts for its monitors are paused.,Maintenance windows,maintenance/edit,,,
This window was cancelled on :date.,Maintenance windows,maintenance/edit,:date,,
Maintenance window,Maintenance windows,"maintenance/edit, maintenance/new",,,
Are you sure?,Maintenance windows,maintenance/index,,,
Maintenance windows,Maintenance windows,maintenance/index,,,
Upcoming,Maintenance windows,maintenance/index,,,
End,Maintenance windows,maintenance/partials/fields,,,
Shown on status pages and in subscriber notifications.,Maintenance windows,maintenance/partials/fields,,,
The window has started — the start time is locked.,Maintenance windows,maintenance/partials/fields,,,
"While the window is active, checks and alerts for its monitors are paused, status pages show a maintenance notice, and the period is excluded from uptime.",Maintenance windows,maintenance/partials/fields,,,
A live status badge.,Status page (public),status-pages/edit,,,
"Create a CNAME record for :domain pointing to :target, then click Verify. Certificates are issued automatically — this can take a few minutes after the DNS change.",Status page (public),status-pages/edit,:domain :target,,
Email subscribers,Status page (public),status-pages/edit,,,
Embed,Status page (public),status-pages/edit,,,
Extra links shown in the status page navbar (up to 4). These open in a new tab.,Status page (public),status-pages/edit,,,
Manage subscribers,Status page (public),status-pages/edit,,,
Markdown,Status page (public),status-pages/edit,,yes,
Per-monitor variant: append,Status page (public),status-pages/edit,,,
Provisioning,Status page (public),status-pages/edit,,,
Serve this status page on your own domain. Point a CNAME at :target and save.,Status page (public),status-pages/edit,:target,,
"Show a subscribe form on the status page — visitors get an email when an incident is reported, updated, or resolved.",Status page (public),status-pages/edit,,,
Status badge,Status page (public),status-pages/edit,,,
Verify,Status page (public),status-pages/edit,,,
Your status page is served at,Status page (public),status-pages/edit,,,
12-hour,Status page (public),"status-pages/edit, status-pages/new",,,
24-hour,Status page (public),"status-pages/edit, status-pages/new",,,
24-hour compact,Status page (public),"status-pages/edit, status-pages/new",,,
Accent,Status page (public),"status-pages/edit, status-pages/new",,,
Add link,Status page (public),"status-pages/edit, status-pages/new",,,
Allow search engines to index the status page.,Status page (public),"status-pages/edit, status-pages/new",,,
Background,Status page (public),"status-pages/edit, status-pages/new",,,
Cards,Status page (public),"status-pages/edit, status-pages/new",,,"A colour swatch label in the status page theme editor, beside Background / Text / Muted text — the card surfaces, not playing cards or payment cards."
Currently showing the :season palette; it changes automatically through the year.,Status page (public),"status-pages/edit, status-pages/new",:season,,
Drag to reorder,Status page (public),"status-pages/edit, status-pages/new",,,
Index,Status page (public),"status-pages/edit, status-pages/new",,,"SEO setting in the status page editor — allow search engines to index the page. Paired with ""Noindex""; not the REST verb here."
Label,Status page (public),"status-pages/edit, status-pages/new",,,
Layout,Status page (public),"status-pages/edit, status-pages/new",,,
Muted text,Status page (public),"status-pages/edit, status-pages/new",,,
Navigation Links,Status page (public),"status-pages/edit, status-pages/new",,,
Noindex,Status page (public),"status-pages/edit, status-pages/new",,,"SEO setting in the status page editor — the opposite of the ""Index"" radio above it."
Optional — shown below the status banner,Status page (public),"status-pages/edit, status-pages/new",,,
Remove,Status page (public),"status-pages/edit, status-pages/new",,,
Reset colors to theme,Status page (public),"status-pages/edit, status-pages/new",,,
Seasonal,Status page (public),"status-pages/edit, status-pages/new",,,
Seasonal — changes automatically by date,Status page (public),"status-pages/edit, status-pages/new",,,
SEO,Status page (public),"status-pages/edit, status-pages/new",,yes,
Status page accessible by anyone.,Status page (public),"status-pages/edit, status-pages/new",,,
Status page accessible by password.,Status page (public),"status-pages/edit, status-pages/new",,,
Status page accessible only by you.,Status page (public),"status-pages/edit, status-pages/new",,,
Text,Status page (public),"status-pages/edit, status-pages/new",,,
The color scheme visitors see. Fine-tune the colors below.,Status page (public),"status-pages/edit, status-pages/new",,,
The primary website URL.,Status page (public),"status-pages/edit, status-pages/new",,,
The URL slug of the status page.,Status page (public),"status-pages/edit, status-pages/new",,,
Time format,Status page (public),"status-pages/edit, status-pages/new",,,
Time zone,Status page (public),"status-pages/edit, status-pages/new",,,
"Times on your public status page show in this zone, labelled, with UTC alongside.",Status page (public),"status-pages/edit, status-pages/new",,,
Your public status page is shown in this language to everyone who visits it.,Status page (public),"status-pages/edit, status-pages/new",,,
Search status pages,Status page (public),status-pages/index,,,
Search status pages…,Status page (public),status-pages/index,,,
Extra links shown in the status page navbar (up to 10). These open in a new tab.,Status page (public),status-pages/new,,,
"Deleting this status page is permanent, and will remove all the data associated with it.",Status page (public),status-pages/partials/context-menu,,,
Add a monitor,Status page (public),status-pages/partials/monitor-board,,,
Add category,Status page (public),status-pages/partials/monitor-board,,,
Category name,Status page (public),status-pages/partials/monitor-board,,,
Drag to reorder this section,Status page (public),status-pages/partials/monitor-board,,,
Move down,Status page (public),status-pages/partials/monitor-board,,,
Move up,Status page (public),status-pages/partials/monitor-board,,,
"Pick monitors from the dropdown. Tap a monitor for move/delete options, or drag it to reorder. Drag a category's handle to reorder sections.",Status page (public),status-pages/partials/monitor-board,,,
Remove category — its monitors move to Uncategorized.,Status page (public),status-pages/partials/monitor-board,,,
Uncategorized,Status page (public),status-pages/partials/monitor-board,,,
Tap for options · drag to reorder,Status page (public),"status-pages/partials/monitor-board-row, status-pages/partials/monitor-board",,,
"Average response time, last 24 hours",Status page (public),status-pages/partials/response-sparkline,,,
ms,Status page (public),status-pages/partials/response-sparkline,,yes,
All services are offline,Status page (public),status-pages/partials/tabs,,,
All services are online,Status page (public),status-pages/partials/tabs,,,
Get incident updates by email,Status page (public),status-pages/partials/tabs,,,
No monitors.,Status page (public),status-pages/partials/tabs,,,
overall uptime,Status page (public),status-pages/partials/tabs,,,
Scheduled maintenance in progress,Status page (public),status-pages/partials/tabs,,,
Some services are offline,Status page (public),status-pages/partials/tabs,,,
Subscribe,Status page (public),status-pages/partials/tabs,,,
Subscription confirmed — you'll get an email when an incident is reported.,Status page (public),status-pages/partials/tabs,,,
until,Status page (public),status-pages/partials/tabs,,,
Status page protected,Status page (public),status-pages/password,,,
This status page is password protected.,Status page (public),status-pages/password,,,
:value uptime,Status page (public),status-pages/show,:value,,
All services have been operating normally.,Status page (public),status-pages/show,,,
Declared,Status page (public),status-pages/show,,,"Public status page incident timeline, followed by a timestamp: when the incident was declared."
No incidents,Status page (public),status-pages/show,,,
No incidents reported,Status page (public),status-pages/show,,,
Scheduled maintenance,Status page (public),status-pages/show,,,
Showing the :count most recent incidents from the last 90 days.,Status page (public),status-pages/show,:count,,
API,Account settings,account/api,,yes,
Copy this key now — it will not be shown again. Regenerate any time to issue a new one.,Account settings,account/api,,,
Your API key is stored hashed. Use Regenerate below to issue a new key — it will be displayed once.,Account settings,account/api,,,
Home,Account settings,"account/api, account/custom-site/register, account/delete (+35 more)",,,
Account,Account settings,"account/api, account/delete, account/index (+6 more)",,,
Copied,Account settings,"account/api, dashboard/partials/birdseye-section, dashboard/partials/sandbox-section (+1 more)",,,
Copy,Account settings,"account/api, dashboard/partials/birdseye-section, dashboard/partials/sandbox-card (+4 more)",,,
API key,Account settings,account/api,,,
Are you sure you want to regenerate the :name key?,Account settings,account/api,:name,,
Regenerate,Account settings,account/api,,,
"Deleting your account is permanent, and will remove all the data associated with it.",Account settings,account/delete,,,
Current password,Account settings,"account/delete, account/security",,,
Delete,Account settings,"account/delete, developers/incidents/index, developers/monitors/index (+11 more)",,,
Change your security information,Account settings,account/index,,,
Forum profile,Account settings,account/index,,,
Manage your forum profile and notification settings,Account settings,account/index,,,
Update your profile information,Account settings,account/index,,,
View your payments,Account settings,account/index,,,
View your payments and invoices,Account settings,account/index,,,
Payments,Account settings,"account/index, account/payments/edit, account/payments/index",,,
Profile,Account settings,"account/index, account/profile",,,
Security,Account settings,"account/index, account/security, auth/tfa",,,
Active until :date,Account settings,account/partials/hosting-card,:date,,
Forum :id,Account settings,account/partials/hosting-card,:id,,
Manage :name,Account settings,account/partials/hosting-card,:name,,
Pending checkout,Account settings,account/partials/hosting-card,,,
Reactivate,Account settings,account/partials/hosting-card,,,
Renews :date,Account settings,account/partials/hosting-card,:date,,
Comped,Account settings,account/partials/hosting-card,,,Badge for a subscription given free of charge by the admin.
Custom Site,Account settings,account/partials/hosting-card,,yes,
:address email address is pending confirmation,Account settings,account/profile,:address,,
"A summary of each monitor's uptime, incidents, and response time, sent on the 1st of the month.",Account settings,account/profile,,,
Ends at,Account settings,account/profile,,,
Leave empty if you don't want to change it,Account settings,account/profile,,,
"Long-form posts from the blog, straight to your inbox.",Account settings,account/profile,,,
Monthly uptime report,Account settings,account/profile,,,
Receive the newsletter,Account settings,account/profile,,,
Confirm new password,Account settings,"account/profile, account/security",,,
New password,Account settings,"account/profile, account/security",,,
Save,Account settings,"account/profile, account/security, checkout/complete (+9 more)",,,
Enabled,Account settings,"account/profile, account/security, developers/monitors/store-update (+2 more)",,,
Disabled,Account settings,"account/profile, account/security, developers/monitors/store-update (+2 more)",,,
Two-factor authentication,Account settings,"account/profile, account/security",,,
Resend,Account settings,"account/profile, auth/tfa, auth/verify",,,
User,Account settings,"account/profile, dashboard/partials/sandbox-card, shared/header",,,
Expired,Account settings,"account/profile, monitors/partials/real-time",,,
Monitors,Account settings,"account/profile, dashboard/partials/uptime-section, developers/index (+10 more)",,,
No,Account settings,account/profile,,,
Yes,Account settings,account/profile,,,
None,Account settings,account/profile,,,
Password,Account settings,"account/profile, auth/login, auth/passwords/reset (+6 more)",,,
Username,Account settings,"account/profile, auth/register, monitors/edit (+1 more)",,,
Timezone,Account settings,account/profile,,,
Status pages,Account settings,"account/profile, dashboard/partials/uptime-section, developers/index (+6 more)",,,
Role,Account settings,account/profile,,,
Users,Account settings,account/profile,,,
"3–20 characters. Letters, numbers, hyphens and underscores only. No spaces.",Account settings,"account/profile, auth/register",,,
Didn't receive the email?,Account settings,"account/profile, auth/tfa, auth/verify",,,
Log out other devices,Account settings,account/security,,,
"Lost a device, or used a shared computer? This signs you out everywhere except the device you're using right now — including anywhere you chose ""remember me"".",Account settings,account/security,,,
Receive two-factor authentication (2FA) codes at :email.,Account settings,account/security,:email,,
Sessions,Account settings,account/security,,,
Accept free month,Account → Hosting,account/hosting,,,
Admin access,Account → Hosting,account/hosting,,,
"Before you go — a free month, on us?",Account → Hosting,account/hosting,,,
Billing & subscription,Account → Hosting,account/hosting,,,
Cancel this forum?,Account → Hosting,account/hosting,,,
Domain,Account → Hosting,account/hosting,,,
Email me a setup link,Account → Hosting,account/hosting,,,
Flarum Hosting,Account → Hosting,account/hosting,,yes,
Manage billing,Account → Hosting,account/hosting,,,
"Manage your plan, payment method, and invoices.",Account → Hosting,account/hosting,,,
Managed :product Hosting,Account → Hosting,account/hosting,:product,,
Managed hosting,Account → Hosting,account/hosting,,,
"No thanks, cancel anyway",Account → Hosting,account/hosting,,,
PHP,Account → Hosting,account/hosting,,yes,
Reactivate Hosting,Account → Hosting,account/hosting,,,
Set or reset your forum admin password,Account → Hosting,account/hosting,,,
Subscription Cancelled,Account → Hosting,account/hosting,,,
This custom-site subscription is cancelled.,Account → Hosting,account/hosting,,,
This offer is available once per forum.,Account → Hosting,account/hosting,,,
"Update your card, view past invoices, or cancel your subscription.",Account → Hosting,account/hosting,,,
"We'd hate to see you cancel. As a one-time offer, we can extend your subscription by 30 days at no cost. Your next charge gets pushed back, no questions asked.",Account → Hosting,account/hosting,,,
What you asked for,Account → Hosting,account/hosting,,,
"Yes, cancel my forum",Account → Hosting,account/hosting,,,
You don't have any managed sites on this account.,Account → Hosting,account/hosting,,,
You've already claimed the one-time retention offer for this forum.,Account → Hosting,account/hosting,,,
"Your forum will stay active until the end of your current billing period. After that, your data will be retained for 30 days for re-activation before final removal.",Account → Hosting,account/hosting,,,
Your hosting subscription has been cancelled. Reactivate to get your Flarum community back online.,Account → Hosting,account/hosting,,,
Your request,Account → Hosting,account/hosting,,,
Your subscription cancellation is scheduled.,Account → Hosting,account/hosting,,,
Your subscription ends on :date. Your site stays online until then.,Account → Hosting,account/hosting,:date,,
Your subscription is active — paid through :date.,Account → Hosting,account/hosting,:date,,
Cancelled,Account → Hosting,"account/hosting, account/partials/hosting-card, account/payments/edit (+5 more)",,,
Cancellation scheduled,Account → Hosting,"account/hosting, account/partials/hosting-card",,,
Active,Account → Hosting,"account/hosting, account/partials/hosting-card, maintenance/index (+2 more)",,,
Flarum,Account → Hosting,"account/hosting, account/partials/hosting-card, shared/hosting-history",,yes,
